,Date,Department,Category,CustomerCode,Price,Quantity
2481,2016-12-08,Sides,Yogurt,CWM11331L8O,12.0,10.0
2482,2014-04-17,Entrees,Lamb Chops,CSY36962KM,32.0,9.0
2484,2015-11-14,Sides,Yogurt,CWM11331L8O,12.0,12.0
2485,2014-08-26,Kabobs,Lamb,CWM11331L8O,28.0,16.0
2486,2015-07-20,Sides,Rice,CWM11331L8O,9.0,5.0
2487,2016-01-19,Kabobs,Chicken,CWM11331L8O,33.0,12.0
2488,2014-12-04,Kabobs,Beef,CWM11331L8O,25.0,8.0
2489,2016-08-25,Kabobs,Chicken,CWM11331L8O,33.0,16.0
2490,2015-11-19,Kabobs,Chicken,CWM11331L8O,33.0,15.0
2491,2014-10-29,Kabobs,Beef,CWM11331L8O,25.0,14.0
2492,2015-03-18,Kabobs,Chicken,CWM11331L8O,33.0,14.0
2493,2015-03-30,Sides,Chips,CWM11331L8O,8.0,12.0
2494,2016-06-15,Kabobs,Chicken,CWM11331L8O,33.0,15.0
2495,2014-01-07,Sides,Rice,CWM11331L8O,9.0,23.0
2496,2016-07-17,Kabobs,Beef,CWM11331L8O,28.0,11.0
2497,2014-04-26,Kabobs,Chicken,C2I37558PX,33.0,13.0
2498,2016-06-19,Entrees,Beef and Broccoli,CWM11331L8O,30.0,12.0
2499,2017-02-22,Kabobs,Pork,CWM11331L8O,29.0,10.0
2500,2015-10-27,Kabobs,Beef,CWM11331L8O,25.0,13.0
2501,2014-04-13,Kabobs,Beef,CWM11331L8O,25.0,7.0
2502,2015-10-06,Entrees,Lamb Chops,CWM11331L8O,20.0,8.0
2503,2014-01-20,Sides,Rice,CWM11331L8O,9.0,17.0
2504,2014-01-07,Kabobs,Beef,CWM11331L8O,25.0,23.0
2505,2016-07-12,Entrees,Beef and Broccoli,CWM11331L8O,31.0,15.0
2506,2015-02-11,Entrees,Beef and Broccoli,CWM11331L8O,26.0,11.0
2507,2015-09-28,Sides,Rice,CWM11331L8O,9.0,10.0
2508,2015-03-15,Sides,Roll,CWM11331L8O,5.0,14.0
2509,2016-05-09,Kabobs,Beef,CWM11331L8O,28.0,8.0
2510,2014-04-05,Kabobs,Chicken,CWM11331L8O,33.0,14.0
2511,2016-09-04,Entrees,Beef and Broccoli,CWM11331L8O,6.0,11.0
2512,2016-09-07,Sides,Roll,CDO10010TQ6,5.0,17.0
2513,2015-12-24,Sides,Yogurt,CWM11331L8O,12.0,15.0
2514,2014-07-24,Kabobs,Beef,CWM11331L8O,25.0,13.0
2515,2014-06-21,Kabobs,Chicken,CWM11331L8O,33.0,17.0
2516,2016-11-02,Entrees,Lamb Chops,CWM11331L8O,27.0,4.0
2517,2015-01-28,Sides,Rice,CWM11331L8O,9.0,12.0
2518,2015-01-14,Kabobs,Chicken,CWM11331L8O,33.0,16.0
2519,2016-01-27,Sides,Yogurt,CWM11331L8O,12.0,10.0
2520,2014-12-18,Kabobs,Chicken,CWM11331L8O,33.0,3.0
2521,2016-06-13,Sides,Yogurt,CWM11331L8O,12.0,21.0
2522,2015-04-22,Entrees,Beef and Broccoli,CWM11331L8O,49.0,16.0
